date,name,category,value
"Jan 30, 2022","Economy, Trade and Investment",Financial Services,32
"Jan 30, 2022","Digital Governance, Privacy and Technology",Automotive,135
"Jan 30, 2022",Media and Public Opinion,Beverages,175
"Jan 30, 2022",Inclusive Development and Human Rights,Technology,212
"Jan 30, 2022",Employment & Social Development,Business Services,228
"Jan 30, 2022","Education, Skills & Competecies",Technology,459
"Jan 30, 2022",Climate Change & Resilience,Technology,387
"Jan 30, 2022",Pollution,Diversified,199
"Jan 30, 2022",Natural Capital Use and Managment,Automotive,124
"Jan 30, 2022",Demographics,Media,195
"Jan 30, 2022",Urbanization and Smart Cities,Restaurants,68
"Jan 30, 2022",COVID-nineteen,Telecommunications,252
"Jan 31, 2022",Public Health,Tobacco,31
"Jan 31, 2022",Environment,Automotive,346
"Jan 31, 2022",Equitable Access to Environmental Goods,Electronics,64
"Jan 31, 2022",Social Welfare,Business Services,136
"Jan 31, 2022",Politics and Global Governance,Automotive,283
"Jan 31, 2022","Economy, Trade and Investment",Financial Services,199
"Jan 31, 2022","Digital Governance, Privacy and Technology",FMCG,20
"Jan 31, 2022",Media and Public Opinion,Electronics,316
"Jan 31, 2022",Inclusive Development and Human Rights,Financial Services,51
"Jan 31, 2022",Employment & Social Development,Automotive,86
"Jan 31, 2022","Education, Skills & Competecies",Beverages,481
"Jan 31, 2022",Climate Change & Resilience,Technology,330
"Jan 31, 2022",Pollution,Business Services,121
"Jan 31, 2022",Natural Capital Use and Managment,Technology,420
"Jan 31, 2022",Demographics,Technology,267
"Jan 31, 2022",Urbanization and Smart Cities,Diversified,225
"Jan 31, 2022",COVID-nineteen,Automotive,107
"Feb 1, 2022",Public Health,Media,124
"Feb 1, 2022",Environment,Restaurants,347
"Feb 1, 2022",Equitable Access to Environmental Goods,Telecommunications,309
"Feb 1, 2022",Social Welfare,Tobacco,182
"Feb 1, 2022",Politics and Global Governance,Automotive,114
"Feb 1, 2022","Economy, Trade and Investment",Electronics,159
"Feb 1, 2022","Digital Governance, Privacy and Technology",Business Services,196
"Feb 1, 2022",Media and Public Opinion,Automotive,249
"Feb 1, 2022",Inclusive Development and Human Rights,Financial Services,134
"Feb 1, 2022",Employment & Social Development,FMCG,382
"Feb 1, 2022","Education, Skills & Competecies",Electronics,134
"Feb 1, 2022",Climate Change & Resilience,Financial Services,378
"Feb 1, 2022",Pollution,Automotive,97
"Feb 1, 2022",Natural Capital Use and Managment,Beverages,300
"Feb 1, 2022",Demographics,Technology,467
"Feb 1, 2022",Urbanization and Smart Cities,Business Services,110
"Feb 1, 2022",COVID-nineteen,Technology,378
"Feb 2, 2022",Public Health,Technology,144
"Feb 2, 2022",Environment,Diversified,145
"Feb 2, 2022",Equitable Access to Environmental Goods,Automotive,249
"Feb 2, 2022",Social Welfare,Media,251
"Feb 2, 2022",Politics and Global Governance,Restaurants,22
"Feb 2, 2022","Economy, Trade and Investment",Telecommunications,253
"Feb 2, 2022","Digital Governance, Privacy and Technology",Tobacco,133
"Feb 2, 2022",Media and Public Opinion,Automotive,147
"Feb 2, 2022",Inclusive Development and Human Rights,Electronics,55
"Feb 2, 2022",Employment & Social Development,Business Services,112
"Feb 2, 2022","Education, Skills & Competecies",Automotive,336
"Feb 2, 2022",Climate Change & Resilience,Financial Services,58
"Feb 2, 2022",Pollution,FMCG,487
"Feb 2, 2022",Natural Capital Use and Managment,Electronics,439
"Feb 2, 2022",Demographics,Financial Services,434
"Feb 2, 2022",Urbanization and Smart Cities,Automotive,272
"Feb 2, 2022",COVID-nineteen,Beverages,461
"Feb 3, 2022",Public Health,Technology,97
"Feb 3, 2022",Environment,Business Services,268
"Feb 3, 2022",Equitable Access to Environmental Goods,Technology,275
"Feb 3, 2022",Social Welfare,Technology,214
"Feb 3, 2022",Politics and Global Governance,Diversified,86
"Feb 3, 2022","Economy, Trade and Investment",Automotive,396
"Feb 3, 2022","Digital Governance, Privacy and Technology",Media,401
"Feb 3, 2022",Media and Public Opinion,Restaurants,239
"Feb 3, 2022",Inclusive Development and Human Rights,Telecommunications,140
"Feb 3, 2022",Employment & Social Development,Tobacco,302
"Feb 3, 2022","Education, Skills & Competecies",Automotive,134
"Feb 3, 2022",Climate Change & Resilience,Electronics,305
"Feb 3, 2022",Pollution,Business Services,57
"Feb 3, 2022",Natural Capital Use and Managment,Automotive,265
"Feb 3, 2022",Demographics,Financial Services,165
"Feb 3, 2022",Urbanization and Smart Cities,FMCG,477
"Feb 3, 2022",COVID-nineteen,Electronics,361
"Feb 4, 2022",Public Health,Financial Services,206
"Feb 4, 2022",Environment,Automotive,465
"Feb 4, 2022",Equitable Access to Environmental Goods,Beverages,181
"Feb 4, 2022",Social Welfare,Technology,243
"Feb 4, 2022",Politics and Global Governance,Business Services,400
"Feb 4, 2022","Economy, Trade and Investment",Technology,492
"Feb 4, 2022","Digital Governance, Privacy and Technology",Technology,114
"Feb 4, 2022",Media and Public Opinion,Diversified,256
"Feb 4, 2022",Inclusive Development and Human Rights,Automotive,99
"Feb 4, 2022",Employment & Social Development,Media,124
"Feb 4, 2022","Education, Skills & Competecies",Restaurants,337
"Feb 4, 2022",Climate Change & Resilience,Telecommunications,76
"Feb 4, 2022",Pollution,Tobacco,182
"Feb 4, 2022",Natural Capital Use and Managment,Automotive,474
"Feb 4, 2022",Demographics,Electronics,372
"Feb 4, 2022",Urbanization and Smart Cities,Business Services,469
"Feb 4, 2022",COVID-nineteen,Automotive,242
"Feb 5, 2022",Public Health,Financial Services,233
"Feb 5, 2022",Environment,FMCG,422
"Feb 5, 2022",Equitable Access to Environmental Goods,Electronics,112
"Feb 5, 2022",Social Welfare,Financial Services,145
"Feb 5, 2022",Politics and Global Governance,Automotive,223
"Feb 5, 2022","Economy, Trade and Investment",Beverages,295
"Feb 5, 2022","Digital Governance, Privacy and Technology",Technology,303
"Feb 5, 2022",Media and Public Opinion,Business Services,301
"Feb 5, 2022",Inclusive Development and Human Rights,Technology,488
"Feb 5, 2022",Employment & Social Development,Technology,236
"Feb 5, 2022","Education, Skills & Competecies",Diversified,193
"Feb 5, 2022",Climate Change & Resilience,Automotive,449
"Feb 5, 2022",Pollution,Media,88
"Feb 5, 2022",Natural Capital Use and Managment,Restaurants,465
"Feb 5, 2022",Demographics,Telecommunications,243
"Feb 5, 2022",Urbanization and Smart Cities,Tobacco,148
"Feb 5, 2022",COVID-nineteen,Automotive,335
"Feb 6, 2022",Public Health,Electronics,356
"Feb 6, 2022",Environment,Business Services,377
"Feb 6, 2022",Equitable Access to Environmental Goods,Automotive,465
"Feb 6, 2022",Social Welfare,Financial Services,165
"Feb 6, 2022",Politics and Global Governance,FMCG,339
"Feb 6, 2022","Economy, Trade and Investment",Electronics,110
"Feb 6, 2022","Digital Governance, Privacy and Technology",Financial Services,53
"Feb 6, 2022",Media and Public Opinion,Automotive,126
"Feb 6, 2022",Inclusive Development and Human Rights,Beverages,157
"Feb 6, 2022",Employment & Social Development,Technology,389
"Feb 6, 2022","Education, Skills & Competecies",Business Services,32
"Feb 6, 2022",Climate Change & Resilience,Technology,333
"Feb 6, 2022",Pollution,Technology,269
"Feb 6, 2022",Natural Capital Use and Managment,Diversified,456
"Feb 6, 2022",Demographics,Automotive,180
"Feb 6, 2022",Urbanization and Smart Cities,Media,357
"Feb 6, 2022",COVID-nineteen,Restaurants,247
"Feb 7, 2022",Public Health,Telecommunications,178
"Feb 7, 2022",Environment,Tobacco,207
"Feb 7, 2022",Equitable Access to Environmental Goods,Automotive,188
"Feb 7, 2022",Social Welfare,Electronics,135
"Feb 7, 2022",Politics and Global Governance,Business Services,442
"Feb 7, 2022","Economy, Trade and Investment",Automotive,371
"Feb 7, 2022","Digital Governance, Privacy and Technology",Financial Services,126
"Feb 7, 2022",Media and Public Opinion,FMCG,123
"Feb 7, 2022",Inclusive Development and Human Rights,Electronics,457
"Feb 7, 2022",Employment & Social Development,Financial Services,431
"Feb 7, 2022","Education, Skills & Competecies",Automotive,300
"Feb 7, 2022",Climate Change & Resilience,Beverages,121
"Feb 7, 2022",Pollution,Technology,55
"Feb 7, 2022",Natural Capital Use and Managment,Business Services,355
"Feb 7, 2022",Demographics,Technology,371
"Feb 7, 2022",Urbanization and Smart Cities,Technology,234
"Feb 7, 2022",COVID-nineteen,Diversified,278
"Feb 8, 2022",Public Health,Automotive,289
"Feb 8, 2022",Environment,Media,73
"Feb 8, 2022",Equitable Access to Environmental Goods,Restaurants,139
"Feb 8, 2022",Social Welfare,Telecommunications,161
"Feb 8, 2022",Politics and Global Governance,Tobacco,179
"Feb 8, 2022","Economy, Trade and Investment",Automotive,265
"Feb 8, 2022","Digital Governance, Privacy and Technology",Electronics,451
"Feb 8, 2022",Media and Public Opinion,Business Services,376
"Feb 8, 2022",Inclusive Development and Human Rights,Automotive,151
"Feb 8, 2022",Employment & Social Development,Financial Services,143
"Feb 8, 2022","Education, Skills & Competecies",FMCG,311
"Feb 8, 2022",Climate Change & Resilience,Electronics,291
"Feb 8, 2022",Pollution,Financial Services,276
"Feb 8, 2022",Natural Capital Use and Managment,Automotive,279
"Feb 8, 2022",Demographics,Beverages,53
"Feb 8, 2022",Urbanization and Smart Cities,Technology,452
"Feb 8, 2022",COVID-nineteen,Business Services,424
"Feb 9, 2022",Public Health,Technology,495
"Feb 9, 2022",Environment,Technology,194
"Feb 9, 2022",Equitable Access to Environmental Goods,Diversified,419
"Feb 9, 2022",Social Welfare,Automotive,229
"Feb 9, 2022",Politics and Global Governance,Media,44
"Feb 9, 2022","Economy, Trade and Investment",Restaurants,115
"Feb 9, 2022","Digital Governance, Privacy and Technology",Telecommunications,308
"Feb 9, 2022",Media and Public Opinion,Tobacco,238
"Feb 9, 2022",Inclusive Development and Human Rights,Automotive,63
"Feb 9, 2022",Employment & Social Development,Electronics,383
"Feb 9, 2022","Education, Skills & Competecies",Business Services,130
"Feb 9, 2022",Climate Change & Resilience,Automotive,235
"Feb 9, 2022",Pollution,Financial Services,433
"Feb 9, 2022",Natural Capital Use and Managment,FMCG,187
"Feb 9, 2022",Demographics,Electronics,477
"Feb 9, 2022",Urbanization and Smart Cities,Financial Services,304
"Feb 9, 2022",COVID-nineteen,Automotive,314
"Feb 10, 2022",Public Health,Beverages,81
"Feb 10, 2022",Environment,Technology,238
"Feb 10, 2022",Equitable Access to Environmental Goods,Business Services,234
"Feb 10, 2022",Social Welfare,Technology,163
"Feb 10, 2022",Politics and Global Governance,Technology,496
"Feb 10, 2022","Economy, Trade and Investment",Diversified,474
"Feb 10, 2022","Digital Governance, Privacy and Technology",Automotive,451
"Feb 10, 2022",Media and Public Opinion,Media,46
"Feb 10, 2022",Inclusive Development and Human Rights,Restaurants,275
"Feb 10, 2022",Employment & Social Development,Telecommunications,490
"Feb 10, 2022","Education, Skills & Competecies",Tobacco,457
"Feb 10, 2022",Climate Change & Resilience,Automotive,421
"Feb 10, 2022",Pollution,Electronics,346
"Feb 10, 2022",Natural Capital Use and Managment,Business Services,158
"Feb 10, 2022",Demographics,Automotive,191
"Feb 10, 2022",Urbanization and Smart Cities,Financial Services,21
"Feb 10, 2022",COVID-nineteen,FMCG,109
"Feb 11, 2022",Public Health,Electronics,92
"Feb 11, 2022",Environment,Financial Services,48
"Feb 11, 2022",Equitable Access to Environmental Goods,Automotive,361
"Feb 11, 2022",Social Welfare,Beverages,343
"Feb 11, 2022",Politics and Global Governance,Technology,186
"Feb 11, 2022","Economy, Trade and Investment",Business Services,249
"Feb 11, 2022","Digital Governance, Privacy and Technology",Technology,100
"Feb 11, 2022",Media and Public Opinion,Technology,172
"Feb 11, 2022",Inclusive Development and Human Rights,Diversified,243
"Feb 11, 2022",Employment & Social Development,Automotive,171
"Feb 11, 2022","Education, Skills & Competecies",Media,106
"Feb 11, 2022",Climate Change & Resilience,Restaurants,334
"Feb 11, 2022",Pollution,Telecommunications,64
"Feb 11, 2022",Natural Capital Use and Managment,Tobacco,202
"Feb 11, 2022",Demographics,Automotive,31
"Feb 11, 2022",Urbanization and Smart Cities,Electronics,56
"Feb 11, 2022",COVID-nineteen,Business Services,244
"Feb 12, 2022",Public Health,Automotive,301
"Feb 12, 2022",Environment,Financial Services,104
"Feb 12, 2022",Equitable Access to Environmental Goods,FMCG,437
"Feb 12, 2022",Social Welfare,Electronics,115
"Feb 12, 2022",Politics and Global Governance,Financial Services,26
"Feb 12, 2022","Economy, Trade and Investment",Automotive,278
"Feb 12, 2022","Digital Governance, Privacy and Technology",Beverages,285
"Feb 12, 2022",Media and Public Opinion,Technology,82
"Feb 12, 2022",Inclusive Development and Human Rights,Business Services,128
"Feb 12, 2022",Employment & Social Development,Technology,261
"Feb 12, 2022","Education, Skills & Competecies",Technology,172
"Feb 12, 2022",Climate Change & Resilience,Diversified,341
"Feb 12, 2022",Pollution,Automotive,434
"Feb 12, 2022",Natural Capital Use and Managment,Media,330
"Feb 12, 2022",Demographics,Restaurants,78
"Feb 12, 2022",Urbanization and Smart Cities,Telecommunications,344
"Feb 12, 2022",COVID-nineteen,Tobacco,352
"Feb 13, 2022",Public Health,Automotive,432
"Feb 13, 2022",Environment,Electronics,435
"Feb 13, 2022",Equitable Access to Environmental Goods,Business Services,343
"Feb 13, 2022",Social Welfare,Automotive,440
"Feb 13, 2022",Politics and Global Governance,Financial Services,248
"Feb 13, 2022","Economy, Trade and Investment",FMCG,304
"Feb 13, 2022","Digital Governance, Privacy and Technology",Electronics,74
"Feb 13, 2022",Media and Public Opinion,Financial Services,121
"Feb 13, 2022",Inclusive Development and Human Rights,Automotive,166
"Feb 13, 2022",Employment & Social Development,Beverages,201
"Feb 13, 2022","Education, Skills & Competecies",Technology,234
"Feb 13, 2022",Climate Change & Resilience,Business Services,264
"Feb 13, 2022",Pollution,Technology,266
"Feb 13, 2022",Natural Capital Use and Managment,Technology,456
"Feb 13, 2022",Demographics,Diversified,45
"Feb 13, 2022",Urbanization and Smart Cities,Automotive,24
"Feb 13, 2022",COVID-nineteen,Media,492
"Feb 14, 2022",Public Health,Restaurants,134
"Feb 14, 2022",Environment,Telecommunications,222
"Feb 14, 2022",Equitable Access to Environmental Goods,Tobacco,58
"Feb 14, 2022",Social Welfare,Automotive,86
"Feb 14, 2022",Politics and Global Governance,Electronics,214
"Feb 14, 2022","Economy, Trade and Investment",Business Services,265
"Feb 14, 2022","Digital Governance, Privacy and Technology",Automotive,442
"Feb 14, 2022",Media and Public Opinion,Financial Services,101
"Feb 14, 2022",Inclusive Development and Human Rights,FMCG,443
"Feb 14, 2022",Employment & Social Development,Electronics,493
"Feb 14, 2022","Education, Skills & Competecies",Financial Services,424
"Feb 14, 2022",Climate Change & Resilience,Automotive,164
"Feb 14, 2022",Pollution,Beverages,415
"Feb 14, 2022",Natural Capital Use and Managment,Technology,389
"Feb 14, 2022",Demographics,Business Services,104
"Feb 14, 2022",Urbanization and Smart Cities,Technology,34
"Feb 14, 2022",COVID-nineteen,Technology,108
"Feb 15, 2022",Public Health,Diversified,259
"Feb 15, 2022",Environment,Automotive,234
"Feb 15, 2022",Equitable Access to Environmental Goods,Media,128
"Feb 15, 2022",Social Welfare,Restaurants,311
"Feb 15, 2022",Politics and Global Governance,Telecommunications,271
"Feb 15, 2022","Economy, Trade and Investment",Tobacco,265
"Feb 15, 2022","Digital Governance, Privacy and Technology",Automotive,310
"Feb 15, 2022",Media and Public Opinion,Electronics,424
"Feb 15, 2022",Inclusive Development and Human Rights,Business Services,245
"Feb 15, 2022",Employment & Social Development,Automotive,391
"Feb 15, 2022","Education, Skills & Competecies",Financial Services,207
"Feb 15, 2022",Climate Change & Resilience,FMCG,113
"Feb 15, 2022",Pollution,Electronics,444
"Feb 15, 2022",Natural Capital Use and Managment,Financial Services,365
"Feb 15, 2022",Demographics,Automotive,444
"Feb 15, 2022",Urbanization and Smart Cities,Beverages,57
"Feb 15, 2022",COVID-nineteen,Technology,41
"Feb 16, 2022",Public Health,Business Services,126
"Feb 16, 2022",Environment,Technology,135
"Feb 16, 2022",Equitable Access to Environmental Goods,Technology,172
"Feb 16, 2022",Social Welfare,Diversified,471
"Feb 16, 2022",Politics and Global Governance,Automotive,437
"Feb 16, 2022","Economy, Trade and Investment",Media,57
"Feb 16, 2022","Digital Governance, Privacy and Technology",Restaurants,175
"Feb 16, 2022",Media and Public Opinion,Telecommunications,108
"Feb 16, 2022",Inclusive Development and Human Rights,Tobacco,482
"Feb 16, 2022",Employment & Social Development,Automotive,174
"Feb 16, 2022","Education, Skills & Competecies",Electronics,265
"Feb 16, 2022",Climate Change & Resilience,Business Services,485
"Feb 16, 2022",Pollution,Automotive,208
"Feb 16, 2022",Natural Capital Use and Managment,Financial Services,195
"Feb 16, 2022",Demographics,FMCG,359
"Feb 16, 2022",Urbanization and Smart Cities,Electronics,112
"Feb 16, 2022",COVID-nineteen,Financial Services,391
"Feb 17, 2022",Public Health,Automotive,401
"Feb 17, 2022",Environment,Beverages,192
"Feb 17, 2022",Equitable Access to Environmental Goods,Technology,263
"Feb 17, 2022",Social Welfare,Business Services,325
"Feb 17, 2022",Politics and Global Governance,Technology,372
"Feb 17, 2022","Economy, Trade and Investment",Technology,250
"Feb 17, 2022","Digital Governance, Privacy and Technology",Diversified,249
"Feb 17, 2022",Media and Public Opinion,Automotive,225
"Feb 17, 2022",Inclusive Development and Human Rights,Media,290
"Feb 17, 2022",Employment & Social Development,Restaurants,117
"Feb 17, 2022","Education, Skills & Competecies",Telecommunications,423
"Feb 17, 2022",Climate Change & Resilience,Tobacco,190
"Feb 17, 2022",Pollution,Automotive,373
"Feb 17, 2022",Natural Capital Use and Managment,Electronics,375
"Feb 17, 2022",Demographics,Business Services,359
"Feb 17, 2022",Urbanization and Smart Cities,Automotive,391
"Feb 17, 2022",COVID-nineteen,Financial Services,232
"Feb 18, 2022",Public Health,FMCG,152
"Feb 18, 2022",Environment,Electronics,332
"Feb 18, 2022",Equitable Access to Environmental Goods,Financial Services,20
"Feb 18, 2022",Social Welfare,Automotive,141
"Feb 18, 2022",Politics and Global Governance,Beverages,49
"Feb 18, 2022","Economy, Trade and Investment",Technology,365
"Feb 18, 2022","Digital Governance, Privacy and Technology",Business Services,474
"Feb 18, 2022",Media and Public Opinion,Technology,58
"Feb 18, 2022",Inclusive Development and Human Rights,Technology,281
"Feb 18, 2022",Employment & Social Development,Diversified,445
"Feb 18, 2022","Education, Skills & Competecies",Automotive,397
"Feb 18, 2022",Climate Change & Resilience,Media,300
"Feb 18, 2022",Pollution,Restaurants,450
"Feb 18, 2022",Natural Capital Use and Managment,Telecommunications,443
"Feb 18, 2022",Demographics,Tobacco,214
"Feb 18, 2022",Urbanization and Smart Cities,Automotive,313
"Feb 18, 2022",COVID-nineteen,Electronics,356
"Feb 19, 2022",Public Health,Business Services,47
"Feb 19, 2022",Environment,Automotive,450
"Feb 19, 2022",Equitable Access to Environmental Goods,Financial Services,228
"Feb 19, 2022",Social Welfare,FMCG,436
"Feb 19, 2022",Politics and Global Governance,Electronics,376
"Feb 19, 2022","Economy, Trade and Investment",Financial Services,352
"Feb 19, 2022","Digital Governance, Privacy and Technology",Automotive,120
"Feb 19, 2022",Media and Public Opinion,Beverages,64
"Feb 19, 2022",Inclusive Development and Human Rights,Technology,280
"Feb 19, 2022",Employment & Social Development,Business Services,191
"Feb 19, 2022","Education, Skills & Competecies",Technology,343
"Feb 19, 2022",Climate Change & Resilience,Technology,166
"Feb 19, 2022",Pollution,Diversified,96
"Feb 19, 2022",Natural Capital Use and Managment,Automotive,68
"Feb 19, 2022",Demographics,Media,39
"Feb 19, 2022",Urbanization and Smart Cities,Restaurants,276
"Feb 19, 2022",COVID-nineteen,Telecommunications,322
"Feb 20, 2022",Public Health,Tobacco,195
"Feb 20, 2022",Environment,Automotive,455
"Feb 20, 2022",Equitable Access to Environmental Goods,Electronics,335
"Feb 20, 2022",Social Welfare,Business Services,152
"Feb 20, 2022",Politics and Global Governance,Automotive,350
"Feb 20, 2022","Economy, Trade and Investment",Financial Services,166
"Feb 20, 2022","Digital Governance, Privacy and Technology",FMCG,141
"Feb 20, 2022",Media and Public Opinion,Electronics,184
"Feb 20, 2022",Inclusive Development and Human Rights,Financial Services,86
"Feb 20, 2022",Employment & Social Development,Automotive,115
"Feb 20, 2022","Education, Skills & Competecies",Beverages,308
"Feb 20, 2022",Climate Change & Resilience,Technology,499
"Feb 20, 2022",Pollution,Business Services,158
"Feb 20, 2022",Natural Capital Use and Managment,Technology,161
"Feb 20, 2022",Demographics,Technology,249
"Feb 20, 2022",Urbanization and Smart Cities,Diversified,162
"Feb 20, 2022",COVID-nineteen,Automotive,302
"Feb 21, 2022",Public Health,Media,287
"Feb 21, 2022",Environment,Restaurants,31
"Feb 21, 2022",Equitable Access to Environmental Goods,Telecommunications,434
"Feb 21, 2022",Social Welfare,Tobacco,252
"Feb 21, 2022",Politics and Global Governance,Automotive,373
"Feb 21, 2022","Economy, Trade and Investment",Electronics,203
"Feb 21, 2022","Digital Governance, Privacy and Technology",Business Services,76
"Feb 21, 2022",Media and Public Opinion,Automotive,193
"Feb 21, 2022",Inclusive Development and Human Rights,Financial Services,484
"Feb 21, 2022",Employment & Social Development,FMCG,112
"Feb 21, 2022","Education, Skills & Competecies",Electronics,241
"Feb 21, 2022",Climate Change & Resilience,Financial Services,337
"Feb 21, 2022",Pollution,Automotive,410
"Feb 21, 2022",Natural Capital Use and Managment,Beverages,201
"Feb 21, 2022",Demographics,Technology,112
"Feb 21, 2022",Urbanization and Smart Cities,Business Services,42
"Feb 21, 2022",COVID-nineteen,Technology,68
"Feb 22, 2022",Public Health,Technology,368
"Feb 22, 2022",Environment,Diversified,389
"Feb 22, 2022",Equitable Access to Environmental Goods,Automotive,324
"Feb 22, 2022",Social Welfare,Media,321
"Feb 22, 2022",Politics and Global Governance,Restaurants,23
"Feb 22, 2022","Economy, Trade and Investment",Telecommunications,392
"Feb 22, 2022","Digital Governance, Privacy and Technology",Tobacco,310
"Feb 22, 2022",Media and Public Opinion,Automotive,23
"Feb 22, 2022",Inclusive Development and Human Rights,Electronics,150
"Feb 22, 2022",Employment & Social Development,Business Services,56
"Feb 22, 2022","Education, Skills & Competecies",Automotive,242
"Feb 22, 2022",Climate Change & Resilience,Financial Services,29
"Feb 22, 2022",Pollution,FMCG,460
"Feb 22, 2022",Natural Capital Use and Managment,Electronics,353
"Feb 22, 2022",Demographics,Financial Services,177
"Feb 22, 2022",Urbanization and Smart Cities,Automotive,191
"Feb 22, 2022",COVID-nineteen,Beverages,481
"Feb 23, 2022",Public Health,Technology,201
"Feb 23, 2022",Environment,Business Services,225
"Feb 23, 2022",Equitable Access to Environmental Goods,Technology,481
"Feb 23, 2022",Social Welfare,Technology,320
"Feb 23, 2022",Politics and Global Governance,Diversified,125
"Feb 23, 2022","Economy, Trade and Investment",Automotive,432
"Feb 23, 2022","Digital Governance, Privacy and Technology",Media,73
"Feb 23, 2022",Media and Public Opinion,Restaurants,24
"Feb 23, 2022",Inclusive Development and Human Rights,Telecommunications,209
"Feb 23, 2022",Employment & Social Development,Tobacco,165
"Feb 23, 2022","Education, Skills & Competecies",Automotive,496
"Feb 23, 2022",Climate Change & Resilience,Electronics,83
"Feb 23, 2022",Pollution,Business Services,416
"Feb 23, 2022",Natural Capital Use and Managment,Automotive,62
"Feb 23, 2022",Demographics,Financial Services,340
"Feb 23, 2022",Urbanization and Smart Cities,FMCG,74
"Feb 23, 2022",COVID-nineteen,Electronics,298
"Feb 24, 2022",Public Health,Financial Services,210
"Feb 24, 2022",Environment,Automotive,219
"Feb 24, 2022",Equitable Access to Environmental Goods,Beverages,284
"Feb 24, 2022",Social Welfare,Technology,439
"Feb 24, 2022",Politics and Global Governance,Business Services,495
"Feb 24, 2022","Economy, Trade and Investment",Technology,403
"Feb 24, 2022","Digital Governance, Privacy and Technology",Technology,239
"Feb 24, 2022",Media and Public Opinion,Diversified,412
"Feb 24, 2022",Inclusive Development and Human Rights,Automotive,492
"Feb 24, 2022",Employment & Social Development,Media,94
"Feb 24, 2022","Education, Skills & Competecies",Restaurants,147
"Feb 24, 2022",Climate Change & Resilience,Telecommunications,268
"Feb 24, 2022",Pollution,Tobacco,330
"Feb 24, 2022",Natural Capital Use and Managment,Automotive,31
"Feb 24, 2022",Demographics,Electronics,241
"Feb 24, 2022",Urbanization and Smart Cities,Business Services,325
"Feb 24, 2022",COVID-nineteen,Automotive,65
"Feb 25, 2022",Public Health,Financial Services,289
"Feb 25, 2022",Environment,FMCG,205
"Feb 25, 2022",Equitable Access to Environmental Goods,Electronics,164
"Feb 25, 2022",Social Welfare,Financial Services,65
"Feb 25, 2022",Politics and Global Governance,Automotive,110
"Feb 25, 2022","Economy, Trade and Investment",Beverages,340
"Feb 25, 2022","Digital Governance, Privacy and Technology",Technology,89
"Feb 25, 2022",Media and Public Opinion,Business Services,422
"Feb 25, 2022",Inclusive Development and Human Rights,Technology,283
"Feb 25, 2022",Employment & Social Development,Technology,230
"Feb 25, 2022","Education, Skills & Competecies",Diversified,141
"Feb 25, 2022",Climate Change & Resilience,Automotive,365
"Feb 25, 2022",Pollution,Media,189
"Feb 25, 2022",Natural Capital Use and Managment,Restaurants,170
"Feb 25, 2022",Demographics,Telecommunications,41
"Feb 25, 2022",Urbanization and Smart Cities,Tobacco,325
"Feb 25, 2022",COVID-nineteen,Automotive,417
"Feb 26, 2022",Public Health,Electronics,287
"Feb 26, 2022",Environment,Business Services,249
"Feb 26, 2022",Equitable Access to Environmental Goods,Automotive,148
"Feb 26, 2022",Social Welfare,Financial Services,180
"Feb 26, 2022",Politics and Global Governance,FMCG,267
"Feb 26, 2022","Economy, Trade and Investment",Electronics,201
"Feb 26, 2022","Digital Governance, Privacy and Technology",Financial Services,73
"Feb 26, 2022",Media and Public Opinion,Automotive,87
"Feb 26, 2022",Inclusive Development and Human Rights,Beverages,344
"Feb 26, 2022",Employment & Social Development,Technology,279
"Feb 26, 2022","Education, Skills & Competecies",Business Services,415
"Feb 26, 2022",Climate Change & Resilience,Technology,247
"Feb 26, 2022",Pollution,Technology,86
"Feb 26, 2022",Natural Capital Use and Managment,Diversified,451
"Feb 26, 2022",Demographics,Automotive,264
"Feb 26, 2022",Urbanization and Smart Cities,Media,388
"Feb 26, 2022",COVID-nineteen,Restaurants,223
"Feb 27, 2022",Public Health,Telecommunications,82
"Feb 27, 2022",Environment,Tobacco,128
"Feb 27, 2022",Equitable Access to Environmental Goods,Automotive,235
"Feb 27, 2022",Social Welfare,Electronics,370
"Feb 27, 2022",Politics and Global Governance,Business Services,131
"Feb 27, 2022","Economy, Trade and Investment",Automotive,422
"Feb 27, 2022","Digital Governance, Privacy and Technology",Financial Services,347
"Feb 27, 2022",Media and Public Opinion,FMCG,379
"Feb 27, 2022",Inclusive Development and Human Rights,Electronics,398
"Feb 27, 2022",Employment & Social Development,Financial Services,403
"Feb 27, 2022","Education, Skills & Competecies",Automotive,136
"Feb 27, 2022",Climate Change & Resilience,Beverages,81
"Feb 27, 2022",Pollution,Technology,115
"Feb 27, 2022",Natural Capital Use and Managment,Business Services,100
"Feb 27, 2022",Demographics,Technology,87
"Feb 27, 2022",Urbanization and Smart Cities,Technology,250
"Feb 27, 2022",COVID-nineteen,Diversified,370
"Feb 28, 2022",Public Health,Automotive,199
"Feb 28, 2022",Environment,Media,295
"Feb 28, 2022",Equitable Access to Environmental Goods,Restaurants,316
"Feb 28, 2022",Social Welfare,Telecommunications,466
"Feb 28, 2022",Politics and Global Governance,Tobacco,380
"Feb 28, 2022","Economy, Trade and Investment",Automotive,317
"Feb 28, 2022","Digital Governance, Privacy and Technology",Electronics,186
"Feb 28, 2022",Media and Public Opinion,Business Services,23
"Feb 28, 2022",Inclusive Development and Human Rights,Automotive,493
"Feb 28, 2022",Employment & Social Development,Financial Services,200
